Neust_dter,Schalke,MIT,2.4,7
De Blasis,Mainz,STU,2.4,75
Kostic,Stuttgart,MIT,2.4,91
Kuranyi,Hoffenheim,STU,2.3,-3
Schmiedebach,Hannover,MIT,2.3,28
Gro¤kreutz,Stuttgart,MIT,2.3,8
Jairo,Mainz,MIT,2.3,94
Lehmann,K_ln,MIT,2.2,61
Callsen-Bracker,Augsburg,ABW,2.2,15
Hilbert,Leverkusen,ABW,2.2,24
Matip,Ingolstadt,ABW,2.2,158
Kalou,Hertha,STU,2.2,132
Johnson,Gladbach,MIT,2.2,99
Abraham,E. Frankfurt,ABW,2.2,66
Uchida,Schalke,ABW,2.2,0
Spahic,HSV,ABW,2.2,42
Holtby,HSV,MIT,2.2,51
Sorg,Hannover,ABW,2.2,-25
Schieber,Hertha,STU,2.2,1
Gebre Selassie,Bremen,ABW,2.2,25
Gro¤,Ingolstadt,MIT,2.2,91
Guilavogui,Wolfsburg,MIT,2.2,26
Bittencourt,K_ln,MIT,2.2,96
Tyton,Stuttgart,TOR,2.2,95
SÙle,Hoffenheim,ABW,2.2,121
Goretzka,Schalke,MIT,2.2,80
Darida,Hertha,MIT,2.2,93
Ginter,Dortmund,ABW,2.2,101
Kiyotake,Hannover,MIT,2.2,88
Johannsson,Bremen,STU,2.2,13
Jedvaj,Leverkusen,ABW,2.2,1
Muto,Mainz,STU,2.2,79
Olic,HSV,STU,2,4
Pizarro,Bremen,STU,2,102
Ibisevic,Hertha,STU,2,97
Dante,Wolfsburg,ABW,2,32
Bungert,Mainz,ABW,2,45
Stroh-Engel,Darmstadt,STU,2,0
Garics,Darmstadt,ABW,2,13
Klein,Stuttgart,ABW,2,-10
Sam,Schalke,STU,2,2
Rausch,Darmstadt,MIT,2,50
Maroh,K_ln,ABW,2,91
Szalai,Hannover,STU,2,-20
Allagui,Hertha,STU,2,0
Traor_,Gladbach,MIT,2,70
Badstuber,Bayern,ABW,2,20
Papadopoulos,Leverkusen,ABW,2,0
Zambrano,E. Frankfurt,ABW,2,47
Jung,Wolfsburg,ABW,2,5
Ekdal,HSV,MIT,2,2
HÙbner,Ingolstadt,ABW,2,119
Bicakcic,Hoffenheim,ABW,2,14
Elyounoussi,Hoffenheim,MIT,2,2
Oczipka,E. Frankfurt,ABW,2,20
Anderson,E. Frankfurt,ABW,2,0
Malli,Mainz,MIT,2,161
Caldirola,Darmstadt,ABW,2,62
Wiedwald,Bremen,TOR,2,134
Kampl,Leverkusen,MIT,2,116
Hradecky,E. Frankfurt,TOR,2,179
Lindner,E. Frankfurt,TOR,2,0
Belhanda,Schalke,MIT,2,33
Nastasic,Schalke,ABW,2,2
Hinteregger,Gladbach,ABW,2,12
Brooks,Hertha,ABW,2,65
Brandt,Leverkusen,STU,2,93
Lezcano,Ingolstadt,STU,2,47
Fabian,E. Frankfurt,MIT,2,6
Ramalho,Leverkusen,ABW,2,4
Saint-Maximin,Hannover,STU,2,8
Galvez,Bremen,ABW,1.9,-7
Olkowski,K_ln,ABW,1.9,9
Feulner,Augsburg,MIT,1.8,22
Schulz,Hannover,ABW,1.8,26
Hugo Almeida,Hannover,STU,1.8,-15
Niedermeier,Stuttgart,ABW,1.8,52
Djourou,HSV,ABW,1.8,46
Aogo,Schalke,ABW,1.8,8
Beerens,Hertha,MIT,1.8,-11
Brosinski,Mainz,ABW,1.8,34
MÙller,HSV,MIT,1.8,88
Baumgartlinger,Mainz,MIT,1.8,121
Rajkovic,Darmstadt,ABW,1.8,46
Schipplock,HSV,STU,1.8,2
Opare,Augsburg,ABW,1.8,-4
Sulu,Darmstadt,ABW,1.8,161
Hosiner,K_ln,STU,1.8,4
Morales,Ingolstadt,MIT,1.8,38
da Costa,Ingolstadt,ABW,1.8,53
Zuber,Hoffenheim,MIT,1.8,26
Weiser,Hertha,MIT,1.8,114
Serey Di_,Stuttgart,MIT,1.8,46
Koo,Augsburg,MIT,1.8,89
Finnbogason,Augsburg,STU,1.8,76
Langerak,Stuttgart,TOR,1.8,12
Mathenia,Darmstadt,TOR,1.8,153
Kolasinac,Schalke,ABW,1.8,34
Kohr,Augsburg,MIT,1.8,18
Maxim,Stuttgart,MIT,1.8,32
Gouweleeuw,Augsburg,ABW,1.8,0
Danilo,Ingolstadt,ABW,1.8,0
Nyland,Ingolstadt,TOR,1.8,28
Osako,K_ln,STU,1.8,29
Hinterseer,Ingolstadt,STU,1.8,37
Chandler,E. Frankfurt,ABW,1.7,-15
Skjelbred,Hertha,MIT,1.6,111
Andreasen,Hannover,MIT,1.6,5
Levels,Ingolstadt,ABW,1.6,37
Heller,Darmstadt,MIT,1.6,96
Kempe,Darmstadt,MIT,1.6,16
Clemens,Mainz,MIT,1.6,79
Pekarik,Hertha,ABW,1.6,21
Wolf,Bremen,TOR,1.6,0
Bregerie,Ingolstadt,ABW,1.6,20
Cohen,Ingolstadt,MIT,1.6,18
Sunjic,Stuttgart,ABW,1.6,-14
Junior Diaz,Darmstadt,ABW,1.6,-5
Vogt,K_ln,MIT,1.6,42
Roger,Ingolstadt,MIT,1.6,111
Hong,Augsburg,ABW,1.6,35
H_ger,Schalke,MIT,1.6,4
Uth,Hoffenheim,STU,1.6,68
Cigerci,Hertha,MIT,1.6,16
Kaderabek,Hoffenheim,ABW,1.6,36
Heintz,K_ln,ABW,1.6,107
Éztunali,Bremen,MIT,1.6,-6
Ji,Augsburg,STU,1.6,11
Hofmann,Gladbach,MIT,1.6,27
Albornoz,Hannover,ABW,1.6,-14
Junior Caicara,Schalke,ABW,1.6,15
Cordoba,Mainz,STU,1.6,78
Djilobodji,Bremen,ABW,1.6,37
Rosenthal,Darmstadt,MIT,1.5,26
Ézcan,Ingolstadt,TOR,1.5,146
Boenisch,Leverkusen,ABW,1.5,6
Niemeyer,Darmstadt,MIT,1.5,52
Vrancic,Darmstadt,MIT,1.5,25
GÙlselam,Hannover,MIT,1.5,-5
Nordtveit,Gladbach,MIT,1.5,71
Schulz,Gladbach,MIT,1.5,2
Holland,Darmstadt,ABW,1.5,14
Rupp,Stuttgart,MIT,1.5,96
Kramaric,Hoffenheim,STU,1.5,80
Garcia,Bremen,ABW,1.5,28
Leckie,Ingolstadt,STU,1.5,51
Park,Dortmund,ABW,1.5,1
Stark,Hertha,ABW,1.5,39
Medojevic,E. Frankfurt,MIT,1.5,1
Gerhardt,K_ln,MIT,1.5,83
Sch_pf,Schalke,MIT,1.5,34
Yamaguchi,Hannover,MIT,1.5,-32
Yatabar_,Bremen,MIT,1.5,20
Coman,Bayern,MIT,1.5,111
Fossum,Hannover,MIT,1.5,-3
Bussmann,Mainz,ABW,1.5,39
Weidenfeller,Dortmund,TOR,1.4,6
Baumjohann,Hertha,MIT,1.4,30
Drobny,HSV,TOR,1.4,37
Brouwers,Gladbach,ABW,1.4,1
Ulreich,Bayern,TOR,1.4,3
Tr_sch,Wolfsburg,ABW,1.4,42
Soto,Mainz,MIT,1.4,1
Esswein,Augsburg,MIT,1.4,56
Kachunga,Ingolstadt,STU,1.4,-1
Hegeler,Hertha,MIT,1.4,10
Suttner,Ingolstadt,ABW,1.4,29
Gorka,Darmstadt,ABW,1.4,4
Bargfrede,Bremen,MIT,1.4,9
Balogun,Mainz,ABW,1.4,56
Prib,Hannover,MIT,1.4,-25
Gondorf,Darmstadt,MIT,1.4,67
Caiuby,Augsburg,MIT,1.4,95
Plattenhardt,Hertha,ABW,1.4,104
Zoller,K_ln,STU,1.4,31
Strobl,Hoffenheim,ABW,1.4,45
Casteels,Wolfsburg,TOR,1.4,74
Ayhan,E. Frankfurt,ABW,1.4,-8
Benschop,Hannover,STU,1.4,-4
Leitner,Dortmund,MIT,1.4,8
Werner,Stuttgart,STU,1.4,56
Sakai,HSV,ABW,1.4,8
Max,Augsburg,ABW,1.4,19
Sakai,Hannover,ABW,1.4,-2
Kleinheisler,Bremen,MIT,1.4,-5
Manninger,Augsburg,TOR,1.3,5
Schwaab,Stuttgart,ABW,1.3,-2
Jungwirth,Darmstadt,MIT,1.3,10
Giefer,Schalke,TOR,1.3,0
Trochowski,Augsburg,MIT,1.2,-6
Riether,Schalke,ABW,1.2,17
Sch_fer,Wolfsburg,ABW,1.2,46
Ilicevic,HSV,MIT,1.2,17
van den Bergh,Hertha,ABW,1.2,11
Mavraj,K_ln,ABW,1.2,31
Wagner,Darmstadt,STU,1.2,159
Ivana,Darmstadt,MIT,1.2,1
Diekmeier,HSV,ABW,1.2,29
Korb,Gladbach,ABW,1.2,42
Bengtsson,Mainz,ABW,1.2,22
Hoffmann,Hannover,ABW,1.2,5
Sirigu,Darmstadt,ABW,1.2,13
Sereno,Mainz,ABW,1.2,0
Rudnevs,HSV,STU,1.2,15
Ostrzolek,HSV,ABW,1.2,-24
Moritz,Mainz,MIT,1.2,9
Donati,Mainz,ABW,1.2,23
Gregoritsch,HSV,STU,1.2,24
Sobiech,Hannover,STU,1.2,29
S_rensen,K_ln,ABW,1.2,54
Kruse,Leverkusen,STU,1.2,-6
Baumgartl,Stuttgart,ABW,1.2,-36
Lex,Ingolstadt,MIT,1.2,27
Mladenovic,K_ln,ABW,1.2,12
Milosevic,Hannover,ABW,1.2,4
Hrgota,Gladbach,STU,1.2,9
Kim,Hoffenheim,ABW,1.2,-7
Haraguchi,Hertha,MIT,1.2,45
Ascues,Wolfsburg,MIT,1.2,1
Kliment,Stuttgart,STU,1.2,5
Stark,Darmstadt,MIT,1.1,0
Ignjovski,E. Frankfurt,ABW,1.1,15
Huszti,E. Frankfurt,MIT,1,-11
Zaluska,Darmstadt,TOR,1,4
Sailer,Darmstadt,STU,1,14
Curci,Mainz,TOR,1,0
Sippel,Gladbach,TOR,1,12
Kacar,HSV,MIT,1,11
Ben-Hatira,E. Frankfurt,MIT,1,13
Flum,E. Frankfurt,MIT,1,1
Parker,Augsburg,MIT,1,0
Hartmann,Ingolstadt,STU,1,82
Sternberg,Bremen,ABW,1,3
Felipe,Hannover,ABW,1,-1
Sama,VfB,ABW,1,0
Ronny,Hertha,MIT,1,1
Hamad,Hoffenheim,MIT,1,3
Stafylidis,Augsburg,ABW,1,0
Kimmich,Bayern,MIT,1,62
H_jbjerg,Schalke,MIT,1,10
Sarenren-Bazee,Hannover,STU,1,26
Gacinovic,E. Frankfurt,MIT,1,-5
Bahoui,HSV,MIT,1,2
Barba,Stuttgart,ABW,1,-5
Elvedi,Gladbach,ABW,1,26
Cleber,HSV,ABW,1,-7
Onisiwo,Mainz,STU,1,29
Bruno Henrique,Wolfsburg,STU,1,2
Tschauner,Hannover,TOR,0.9,0
Tremmel,Bremen,TOR,0.8,0
Herdling,Hoffenheim,MIT,0.8,0
Kresic,Leverkusen,TOR,0.8,4
Stegmayer,Darmstadt,ABW,0.8,0
Svento,K_ln,MIT,0.8,15
Jarstein,Hertha,TOR,0.8,154
Djakpa,E. Frankfurt,ABW,0.8,-8
Moravek,Augsburg,MIT,0.8,0
Kittel,E. Frankfurt,MIT,0.8,-3
Weigl,Dortmund,MIT,0.8,85
Christensen,Gladbach,ABW,0.8,131
Lorenzen,Bremen,STU,0.8,2
San_,Schalke,STU,0.8,140
Ajeti,Augsburg,STU,0.8,-1
Berggreen,Mainz,STU,0.8,0
Grahl,Hoffenheim,TOR,0.7,0
Klement,Mainz,MIT,0.7,1
G_tz,HSV,ABW,0.7,0
Kessler,K_ln,TOR,0.6,-2
GrÙn,Wolfsburg,TOR,0.6,0
Engel,Ingolstadt,ABW,0.6,0
Heise,Stuttgart,ABW,0.6,5
Reg_sel,E. Frankfurt,ABW,0.6,20
Parker,Mainz,MIT,0.6,1
Waldschmidt,E. Frankfurt,STU,0.6,11
Karaman,Hannover,STU,0.6,8
Hack,Mainz,ABW,0.6,8
Veljkovic,Bremen,ABW,0.6,-2
Garcia,Bremen,ABW,0.6,7
Pulisic,Dortmund,MIT,0.6,29
Heimeroth,Gladbach,TOR,0.5,0
Janker,Augsburg,ABW,0.5,3
Yildirim,Bremen,MIT,0.5,1
Kurt,Hertha,STU,0.5,0
Toljan,Hoffenheim,ABW,0.5,13
Henrichs,Leverkusen,MIT,0.5,22
Christiansen,Ingolstadt,MIT,0.5,28
Sulejmani,Hannover,MIT,0.5,1
Pavlovic,Bremen,ABW,0.5,0
Friedrich,Schalke,ABW,0.5,2
Thommy,Augsburg,MIT,0.5,0
Dahoud,Gladbach,MIT,0.5,131
Wolf,Hannover,STU,0.5,-8
KlÙnter,K_ln,ABW,0.5,1
Hartel,K_ln,MIT,0.5,5
Yurchenko,Leverkusen,MIT,0.5,20
Tashchy,VfB,STU,0.5,1
Manneh,Bremen,STU,0.5,0
Azzaoui,Wolfsburg,MIT,0.5,2
Platins,Darmstadt,TOR,0.4,0
Latza,Mainz,MIT,0.4,57
Busch,Bremen,ABW,0.4,0
Rankovic,Hannover,ABW,0.4,0
Ristl,Stuttgart,MIT,0.4,3
Putaro,Wolfsburg,STU,0.4,3
Schuster,Augsburg,MIT,0.4,0
Grillitsch,Bremen,MIT,0.4,31
Platte,Darmstadt,STU,0.4,7
Joelinton,Hoffenheim,STU,0.4,1
Felipe,Wolfsburg,ABW,0.3,0
Gelios,Augsburg,TOR,0.3,0
Kiesewetter,Stuttgart,STU,0.3,0
Mittelst_dt,Hertha,ABW,0.3,4
Jung,HSV,ABW,0.3,3
Sow,Gladbach,MIT,0.3,0
Starke,Bayern,TOR,0.2,0
Stolz,Hoffenheim,TOR,0.2,0
Yelldell,Leverkusen,TOR,0.2,3
Burchert,Hertha,TOR,0.2,0
Gspurning,Schalke,TOR,0.2,0
von Haacke,Bremen,MIT,0.2,0
Weihrauch,Bayern,STU,0.2,0
Framberger,Augsburg,ABW,0.2,0
Zander,Bremen,ABW,0.2,-11
Mesenh_ler,K_ln,TOR,0.2,0
Sprenger,Wolfsburg,ABW,0.2,0
Kohls,Hertha,MIT,0.2,1
Fr_de,Bremen,MIT,0.2,1
Dier¤en,Hannover,MIT,0.2,1
Green,Bayern,MIT,0.2,0
Ekin,Augsburg,MIT,0.2,0
Husic,Bremen,TOR,0.2,0
Multhaup,Ingolstadt,MIT,0.2,-2
Radlinger,Hannover,TOR,0.2,0
Ochs,Hoffenheim,STU,0.2,10
HÙsing,Bremen,ABW,0.2,1
MÙller,HSV,STU,0.2,0
Gimber,Hoffenheim,ABW,0.2,0
Kehrer,Schalke,ABW,0.2,1
NÙbel,Schalke,TOR,0.2,1
Boeder,Leverkusen,ABW,0.2,0
Rieder,Augsburg,ABW,0.2,0
Stolze,Wolfsburg,STU,0.2,0
Balayev,E. Frankfurt,TOR,0.2,0
Reinthaler,Augsburg,MIT,0.2,0
Ritter,Gladbach,STU,0.2,0
Bonmann,Dortmund,TOR,0.2,0
Zetterer,Bremen,TOR,0.2,0
Uhde,Augsburg,ABW,0.2,0
Wanitzek,Stuttgart,MIT,0.2,1
Ferati,Stuttgart,MIT,0.2,2
Feka,HSV,ABW,0.2,0
Serdar,Mainz,MIT,0.2,12
Seguin,Wolfsburg,MIT,0.2,6
Hirzel,HSV,TOR,0.2,3
Huth,Mainz,TOR,0.2,0
Kurz,Augsburg,ABW,0.2,0
Frey,Leverkusen,MIT,0.2,7
Stenzel,Dortmund,MIT,0.2,0
Oelschl_gel,Bremen,TOR,0.2,0
Eggestein,Bremen,MIT,0.2,1
Zummack,E. Frankfurt,TOR,0.2,0
Bauer,Ingolstadt,MIT,0.2,25
Schulz,Gladbach,MIT,0.2,5
Amiri,Hoffenheim,MIT,0.2,90
Anton,Hannover,ABW,0.2,22
Oettl,Augsburg,TOR,0.2,0
Passlack,Dortmund,MIT,0.2,3
Bunjaki,E. Frankfurt,STU,0.2,0
Ndenge,Gladbach,MIT,0.2,0
K_rber,Hertha,TOR,0.2,0
K_nigsmann,Hannover,TOR,0.2,0
Ortag,Ingolstadt,TOR,0.2,0
Altintas,HSV,STU,0.2,1
Wembacher,Darmstadt,ABW,0.2,0
Finger,Darmstadt,MIT,0.2,0
Kazimi,Darmstadt,MIT,0.2,0
Volk,Darmstadt,MIT,0.2,0
,,,,
,,,,
,,,959.7,19729
